# t = 8.6400e+04 ; rmin = 8.6400e+12
#  r            rho             v               T_gas           T_rad           n_elec          L_dep_nuc       L_emit_nuc     
8.81280000e+12  9.97934600e-19  1.02000000e+08  3.00000000e+03  4.84367891e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
8.98560000e+12  9.97934600e-19  1.04000000e+08  3.00000000e+03  4.65925905e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.15840000e+12  9.97934600e-19  1.06000000e+08  3.00000000e+03  4.53036906e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.33120000e+12  9.97934600e-19  1.08000000e+08  3.00000000e+03  4.42297637e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.50400000e+12  9.97934600e-19  1.10000000e+08  3.00000000e+03  4.32889635e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.67680000e+12  9.97934600e-19  1.12000000e+08  3.00000000e+03  4.24403397e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.84960000e+12  9.97934600e-19  1.14000000e+08  3.00000000e+03  4.16626179e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.00224000e+13  9.97934600e-19  1.16000000e+08  3.00000000e+03  4.09421413e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.01952000e+13  9.97934600e-19  1.18000000e+08  3.00000000e+03  4.02694007e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.03680000e+13  9.97934600e-19  1.20000000e+08  3.00000000e+03  3.96380076e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.05408000e+13  9.97934600e-19  1.22000000e+08  3.00000000e+03  3.90435068e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.07136000e+13  9.97934600e-19  1.24000000e+08  3.00000000e+03  3.84786016e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.08864000e+13  9.97934600e-19  1.26000000e+08  3.00000000e+03  3.79423509e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.10592000e+13  9.97934600e-19  1.28000000e+08  3.00000000e+03  3.74312489e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.12320000e+13  9.97934600e-19  1.30000000e+08  3.00000000e+03  3.69435360e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.14048000e+13  9.97934600e-19  1.32000000e+08  3.00000000e+03  3.64759601e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.15776000e+13  9.97934600e-19  1.34000000e+08  3.00000000e+03  3.60271476e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.17504000e+13  9.97934600e-19  1.36000000e+08  3.00000000e+03  3.55958242e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.19232000e+13  9.97934600e-19  1.38000000e+08  3.00000000e+03  3.51804197e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.20960000e+13  9.97934600e-19  1.40000000e+08  3.00000000e+03  3.47796780e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.22688000e+13  9.97934600e-19  1.42000000e+08  3.00000000e+03  3.43928415e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.24416000e+13  9.97934600e-19  1.44000000e+08  3.00000000e+03  3.40190329e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.26144000e+13  9.97934600e-19  1.46000000e+08  3.00000000e+03  3.36581714e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.27872000e+13  9.97934600e-19  1.48000000e+08  3.00000000e+03  3.33085710e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.29600000e+13  9.97934600e-19  1.50000000e+08  3.00000000e+03  3.29698872e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.31328000e+13  9.97934600e-19  1.52000000e+08  3.00000000e+03  3.26417690e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.33056000e+13  9.97934600e-19  1.54000000e+08  3.00000000e+03  3.23234400e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.34784000e+13  9.97934600e-19  1.56000000e+08  3.00000000e+03  3.20143124e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.36512000e+13  9.97934600e-19  1.58000000e+08  3.00000000e+03  3.17140534e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.38240000e+13  9.97934600e-19  1.60000000e+08  3.00000000e+03  3.14223072e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.39968000e+13  9.97934600e-19  1.62000000e+08  3.00000000e+03  3.11385625e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.41696000e+13  9.97934600e-19  1.64000000e+08  3.00000000e+03  3.08619260e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.43424000e+13  9.97934600e-19  1.66000000e+08  3.00000000e+03  3.05913341e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.45152000e+13  9.97934600e-19  1.68000000e+08  3.00000000e+03  3.03281784e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.46880000e+13  9.97934600e-19  1.70000000e+08  3.00000000e+03  3.00714456e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.48608000e+13  9.97934600e-19  1.72000000e+08  3.00000000e+03  2.98209036e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.50336000e+13  9.97934600e-19  1.74000000e+08  3.00000000e+03  2.95776523e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.52064000e+13  9.97934600e-19  1.76000000e+08  3.00000000e+03  2.93400802e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.53792000e+13  9.97934600e-19  1.78000000e+08  3.00000000e+03  2.91083954e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.55520000e+13  9.97934600e-19  1.80000000e+08  3.00000000e+03  2.88822542e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.57248000e+13  9.97934600e-19  1.82000000e+08  3.00000000e+03  2.86612375e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.58976000e+13  9.97934600e-19  1.84000000e+08  3.00000000e+03  2.84449643e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.60704000e+13  9.97934600e-19  1.86000000e+08  3.00000000e+03  2.82334961e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.62432000e+13  9.97934600e-19  1.88000000e+08  3.00000000e+03  2.80267688e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.64160000e+13  9.97934600e-19  1.90000000e+08  3.00000000e+03  2.78246491e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.65888000e+13  9.97934600e-19  1.92000000e+08  3.00000000e+03  2.76266913e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.67616000e+13  9.97934600e-19  1.94000000e+08  3.00000000e+03  2.74330073e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.69344000e+13  9.97934600e-19  1.96000000e+08  3.00000000e+03  2.72433572e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.71072000e+13  9.97934600e-19  1.98000000e+08  3.00000000e+03  2.70577545e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.72800000e+13  9.97934600e-19  2.00000000e+08  3.00000000e+03  2.68755798e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.74528000e+13  9.97934600e-19  2.02000000e+08  3.00000000e+03  2.66974994e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.76256000e+13  9.97934600e-19  2.04000000e+08  3.00000000e+03  2.65226990e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.77984000e+13  9.97934600e-19  2.06000000e+08  3.00000000e+03  2.63510501e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.79712000e+13  9.97934600e-19  2.08000000e+08  3.00000000e+03  2.61823977e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.81440000e+13  9.97934600e-19  2.10000000e+08  3.00000000e+03  2.60174015e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.83168000e+13  9.97934600e-19  2.12000000e+08  3.00000000e+03  2.58550130e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.84896000e+13  9.97934600e-19  2.14000000e+08  3.00000000e+03  2.56957723e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.86624000e+13  9.97934600e-19  2.16000000e+08  3.00000000e+03  2.55395539e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.88352000e+13  9.97934600e-19  2.18000000e+08  3.00000000e+03  2.53861333e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.90080000e+13  9.97934600e-19  2.20000000e+08  3.00000000e+03  2.52351090e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.91808000e+13  9.97934600e-19  2.22000000e+08  3.00000000e+03  2.50868544e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.93536000e+13  9.97934600e-19  2.24000000e+08  3.00000000e+03  2.49411554e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.95264000e+13  9.97934600e-19  2.26000000e+08  3.00000000e+03  2.47978898e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
